Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

J8         *MOLEX_47352-1001_47352-1001(Primary)     27.3422mm     10.3222mm     27.3672mm     10.0972mm     25.4272mm      6.4372mm  B        180.00 microSD        
R48        SMD_R(0402)          21.707mm     23.5688mm      21.707mm     23.5688mm      22.139mm     23.5688mm  B        180.00 33k            
R49        SMD_R(0402)          21.707mm     21.8924mm      21.707mm     21.8924mm      22.139mm     21.8924mm  B        180.00 33k            
R50        SMD_R(0402)          21.707mm     20.1964mm      21.707mm     20.1964mm      22.139mm     20.1964mm  B        180.00 33k            
R51        SMD_R(0402)         31.3436mm     18.9968mm     31.3436mm     18.9968mm     30.9116mm     18.9968mm  B        360.00 33k            
R52        SMD_R(0402)          21.707mm     21.0542mm      21.707mm     21.0542mm      22.139mm     21.0542mm  B        180.00 33k            
R53        SMD_R(0402)         78.0442mm     66.1432mm     78.0442mm     66.1432mm     78.4762mm     66.1432mm  T        180.00 1k             
R54        SMD_R(0402)         78.0442mm     67.5656mm     78.0442mm     67.5656mm     78.4762mm     67.5656mm  T        180.00 1k             
R55        SMD_R(0402)         68.2676mm     39.7798mm     68.2676mm     39.7798mm     68.6996mm     39.7798mm  T        180.00 330R           
R56        SMD_R(0402)         67.2516mm     34.0802mm     67.2516mm     34.0802mm     67.2516mm     34.5122mm  B        270.00 1k             
R57        SMD_R(0402)         68.1152mm     34.0802mm     68.1152mm     34.0802mm     68.1152mm     34.5122mm  B        270.00 10k            
SW1        SW_1825966-1         21.251mm     37.2603mm      21.251mm     37.2603mm      24.501mm     37.2603mm  T        180.00 1825966-1      
SP1        Header-2.54m-2pin     78.1458mm     72.1282mm     78.1458mm     70.8582mm     78.1458mm     70.8582mm  T        180.00 SPEAKER 10mm_193
U1         SON65P200X200X80-7N     65.2648mm     19.3302mm     65.2648mm     19.3302mm     65.9148mm     20.3302mm  T        270.00 TPS62291DRVR   
U2         VQFN-17N             64.425mm     10.2404mm      64.425mm     10.2404mm       65.96mm      9.4904mm  T        180.00 BQ24230RGTT    
U3         TPS63020            65.1816mm     15.1836mm     65.1816mm     15.1836mm     66.6816mm     16.5836mm  T        270.00 TPS63020       
U4         QFN50P400X400X75-25N     60.4386mm     50.0006mm     60.4386mm     50.0006mm     62.3886mm     48.7506mm  T        180.00 MAX9860ETG+    
U6         LQFP-100N             40.45mm      40.324mm       40.45mm      40.324mm       32.77mm      46.324mm  T        360.00 STM32F407VGT6  
